channel_id,subscriber_count,video_count,view_count
UCqXwKu6dKobXEQFhdKtiJLQ,12700000,3883,8595385929
UC-9Tn-iH6W_187YwCOf7CGw,1290000,1351,762284215
UC_Py3VQ4sjXHj1c4Rhb5ITw,2700000,656,886734933
