channel_id,channel_title,created_at,country,playlist_id,view_count,subscriber_count,video_count
UCD_-N4vf-tsqbUxrQ4CrJIA,깨비키즈 [KEBIKIDS],2015-06-22T08:45:55Z,KR,UUD_-N4vf-tsqbUxrQ4CrJIA,4090390422,4590000,2609
UC7UbS3kToagugtwtcF2m3Fg,리월드RIWORLD,2017-03-26T13:07:05Z,KR,UU7UbS3kToagugtwtcF2m3Fg,1420964954,3230000,218
UCGwA4GjY4nGMIYvaJiA0EGA,English Singsing,2014-04-21T08:33:03Z,KR,UUGwA4GjY4nGMIYvaJiA0EGA,1121006302,4820000,1515
UCqXwKu6dKobXEQFhdKtiJLQ,핑크퐁 (인기 동요・동화),2014-03-11T06:13:16Z,KR,UUqXwKu6dKobXEQFhdKtiJLQ,8588996580,12700000,3882
UCAAyQrLDrcK0h1Ll3g8lURw,Milana FamilyShow[EN],2014-05-25T11:11:20Z,US,UUAAyQrLDrcK0h1Ll3g8lURw,827784539,3610000,64
UCdet8uJfTFlACtY05BQmJ1Q,헤이지니 Hey Jini,2017-05-15T09:20:40Z,KR,UUdet8uJfTFlACtY05BQmJ1Q,3338997871,4070000,1814
UCbVe9XTYtziGGqXMZ6L6hCA,Adventure Story,2013-02-19T21:32:41Z,GR,UUbVe9XTYtziGGqXMZ6L6hCA,3548897,23800,996
UCqjTqdVlvIipZXIKeCkHKUA,オリバー・エバンス / Oliver Evans 【にじさんじ】,2021-07-01T08:02:45.661873Z,JP,UUqjTqdVlvIipZXIKeCkHKUA,36681513,325000,672
UCCrGfO9A8eLdSsB4bWbMhTg,Boys Playtime,2018-02-08T12:45:55Z,KR,UUCrGfO9A8eLdSsB4bWbMhTg,1706687182,3640000,827
UCHW84cp8kDx9RGOJBtf9PUQ,요올리Yoli,2013-06-15T15:18:07Z,KR,UUHW84cp8kDx9RGOJBtf9PUQ,1513906534,3150000,1203
UCtzr07Iifce7-48Kw1phdzg,[장난감티비]TOYTV,2014-07-20T07:11:18Z,KR,UUtzr07Iifce7-48Kw1phdzg,2349420987,6640000,1506
UCjcjjOUxGWhGgrHM7kpTjyw,제이제이 튜브 [JJ Tube],2015-11-21T08:13:43Z,KR,UUjcjjOUxGWhGgrHM7kpTjyw,2695620520,3970000,516
UC8vwuAB2iTT-lN_WOrjaSyw,슈슈토이 ShushuToysReview,2018-09-06T09:36:23Z,US,UU8vwuAB2iTT-lN_WOrjaSyw,1470310729,4250000,495
UCKtWpU7qXe9FxBPQwU7_W4g,Like Nastya Collections,2019-11-22T15:36:50.641601Z,US,UUKtWpU7qXe9FxBPQwU7_W4g,5943244467,14600000,780
UC0vDCy8moGUhR7kRL19wWpw,토이몽 TV - ToyMong Tv,2015-09-26T02:43:21Z,KR,UU0vDCy8moGUhR7kRL19wWpw,4652483895,11000000,1382
UCu0Jph1U5x-2lk9u8LwpRWw,Clay Adventure 클레이 모험,2019-06-13T12:48:57Z,KR,UUu0Jph1U5x-2lk9u8LwpRWw,1190537229,1880000,2107
UCFDT0B0Ud2hWrxweDLMrEHg,나나의인형놀이 Nana'sDollPlay,2019-06-03T03:47:50Z,US,UUFDT0B0Ud2hWrxweDLMrEHg,477988805,1410000,382
UCbbC0FaznmgJDuehIuQvYMA,뚜아뚜지TV,2016-12-22T05:13:34Z,KR,UUbbC0FaznmgJDuehIuQvYMA,1247645277,1480000,2311
UCfYBSrfvB-ArSvsQGljQ-7w,해피팸(Happy family),2018-01-18T07:19:12Z,KR,UUfYBSrfvB-ArSvsQGljQ-7w,377657888,1340000,463
UCxUayFyqiLa5PbcspHsw9Ag,BloxJC,2016-08-21T13:37:01Z,KR,UUxUayFyqiLa5PbcspHsw9Ag,14613824,1280000,345
UCu6mog947IWOXL23AzKlImw,브라보키즈,2013-12-23T13:20:26Z,KR,UUu6mog947IWOXL23AzKlImw,1747326286,1630000,3131
