channel_character,channel_handle,channel_id,youtube_link
핑크퐁,@핑크퐁,UCqXwKu6dKobXEQFhdKtiJLQ,https://www.youtube.com/channel/UCqXwKu6dKobXEQFhdKtiJLQ
올리,@BabyShark_Korean,UC-9Tn-iH6W_187YwCOf7CGw,https://www.youtube.com/channel/UC-9Tn-iH6W_187YwCOf7CGw
베베핀,@베베핀,UC_Py3VQ4sjXHj1c4Rhb5ITw,https://www.youtube.com/channel/UC_Py3VQ4sjXHj1c4Rhb5ITw
