channel_character,subscriber_count,video_count,view_count,subscriber_to_views,avg_views_per_video,views_to_subscriber_ratio,content_impact_score
Pinkfong,12700000,3883,8595385929,0.0014775369139797935,2213594.1099665207,676.8020416535433,38706.13663254962
Ollie,1290000,1351,762284215,0.0016922821889995452,564237.0207253885,590.917996124031,18259.73191550303
Bebefinn,2700000,656,886734933,0.003044878350360423,1351730.080792683,328.42034555555557,21069.78073525617
